pmid,pmcid
24594508,3942310
24619004,3949688
24651705,3961291
24823717,4019529
24848380,4030253
24872895,4020302
25118701,4131910
25126947,4134311
25184294,4153588
25258037,4175730
25282602,4854607
25339883,4189334
25339895,4186480
25438043,4250191
25438046,4249829
25577413,4353560
25593703,4271330
25741269,4327308
25757652,4672713
25864196,4781893
25929675,4692093
25954169,4407577
25954186,4406072
25970523,4430209
25995134,4545680
26183650,4566935
26199873,4506986
26199874,4506990
26445698,4589806
26576733,4649361
26667034,5167221
26675290,4684365
26839078,4738255
26904405,4724692
27068285,4956384
27084762,4833895
27314047,4903142
27322194,4913931
27338616,4919650
27535179,4989445
27551669,4983635
27600852,5066832
27649971,5272890
27781136,5064334
27781143,5064341
27781148,5064346
27895619,5108767
27977692,5157986
28133455,5233672
28469197,5431219
28649489,5470568
28649490,5470569
28698643,5506019
28747683,5529377
28919871,5585191
20949134,2950843
21408006,3052361
21653717,3174812
22022611,3195690
22235303,3250458
22276205,3262818
22276215,3262831
22661406,3446867
23144849,3492343
23144915,3492494
23300385,3536813
23316957,3557158
23496827,3602090
23824708,3688940
23382515,4014181
23349665,3549920
23251361,3519473
23251130,3523259
23226567,3514181
23226488,3511386
23185566,3503984
23152865,3494684
22882806,3477078
24742205,3991864
24906136,4048154
22768085,3387168
22563003,3739917
22432026,3303838
24979748,4076184
22038706,3267031
22022589,3195691
21088708,2982745
19753142,2742668
19712445,2749857
19573221,2715420
19564918,2699543
25405941,4585517
19523766,2743811
25577954,4416282
25798918,4370559
25946306,4422438
25946334,4422669
26011751,4470300
18950528,2584040
18655719,2518922
26093849,6989835
18647397,2515325
23922941,3726528
23898312,3721022
24086758,3783488
24324419,3840299
24324429,3838991
26503586,5082531
24324588,3851159
26708106,4820052
24332795,3906535
26732764,4679864
24349161,3862486
24381781,3871502
24381811,3869681
27019753,4785273
24922512,4055615
24963329,4055001
24963485,4053214
25061564,4107374
27551971,4995017
27560361,4999060
25061565,4107372
27806119,5091745
25249962,4157554
25356409,4184667
28289394,5326798
25372882,4221616
25389396,4211402
28674515,5474460
25389415,4211386
25512040,4306523
26052748,4458840
26052943,4460129
26257628,4512033
26388760,4555067
26413478,4556736
26478961,4686003
26528169,4608360
26716447,4696812
26855683,4743418
26888566,4758058
26978777,4792397
27150704,4915335
27199694,4858518
27199831,4855531
27314671,4912074
27625614,5003884
27838595,5275766
27896064,5121155
28469571,5395570
28559803,5433384
26110112,4477106
26110429,4481508
28756237,5678287
18639469,2724104
19032746,2633349
19229326,2638013
19876405,2769546
19876407,2769551
20122260,2829029
20204074,2831710
20621984,3041008
20941370,2950744
21203474,3008748
21695183,3113799
21965440,3388894
22194728,3242169
22194902,3237491
22375111,3280593
22505995,3323585
22563478,3341391
22579726,3778887
22768287,3386961
22776456,3445813
22973202,3428803
22973203,3428804
23087634,3467966
23145011,3492266
23145068,3492182
23227139,3515559
23251496,3520962
23251595,3520927
23251669,3522585
23251704,3522643
23349792,3547946
23382715,3563087
23440005,3579187
23448192,3608942
23497355,3605341
23874307,3712893
23964226,3741555
24062654,3775427
24062660,3774999
24062684,3770910
24062699,3775540
24324679,3852523
24324753,3855765
24324781,3855767
24570585,3933715
24578695,3936467
24586822,3933564
24693356,3960024
24701569,3950546
24840874,4026540
25119464,4131867
25234119,4330550
25610783,4300003
25610794,4297883
25610798,4297882
25717297,4324146
25799236,4370557
25807390,4373917
25938442,4418763
25938561,4418835
26053145,4483156
26053265,4460034
26053355,4459168
26102501,4477935
26167916,4500585
26257961,4519547
26356376,4900504
26446439,4584065
26503692,5057312
26511911,4625557
26577598,4647500
27019865,4804345
27110113,4835129
27257518,4873656
27445760,4923118
27445769,4923193
27445770,4925679
27445918,4923151
27454170,4959733
27462265,4940400
27650816,5155664
27798249,5465825
28052091,5215289
28207751,5312947
28224080,5310170
28240422,5413835
28314184,6987789
28338716,5472149
28338742,5460054
28338790,5472110
28338791,5472159
28338882,5460049
28338887,5490681
28338916,5460055
28338944,5490682
28338955,5490670
28453543,5409184
28592863,5462779
28928643,5591329
28928708,5591400
18590546,2453130
18787230,2665153
19794914,2748718
20016001,2901016
20130756,2805429
20179758,2825260
20188184,2877799
21080967,2993660
21097516,3116731
21326612,3033899
21392373,3062602
22629253,3354331
22629335,3356348
22645660,3352092
22661964,3362743
22662152,3360699
22916152,3423412
22957019,3434213
23227168,3515589
23300958,3534686
23300977,3534702
23301035,3534624
23301153,3538283
23341872,3540048
23382821,3559645
23555020,3598707
23555037,3598753
23874445,3715518
23874482,3706617
23874543,3709912
24021855,4330553
24456150,3903437
24587104,3937393
24636205,4316185
24685436,4075342
24718105,3981758
24718288,4075343
24718311,3981713
24824731,4019508
24824880,4019564
24947491,4076230
25070512,4132649
25111566,4128667
25119565,4131876
25160678,4332542
25226035,4165900
25275449,4183523
25414630,4220120
25603126,4300211
25734018,4334979
25758671,4715124
25799565,4370729
25816069,4376798
25824306,4441258
26037055,4627358
26061879,4465482
26200892,4582069
26225427,4520539
26299314,4696540
26332128,4557829
26487590,4838562
26512314,4624365
26553191,4640353
26569602,4646462
26594159,4633483
26708773,4728050
26790868,4982083
26807336,4714646
26807339,4714641
26954693,4783046
27003840,4803189
27020139,4863521
27110443,4834945
27134768,4842931
27192082,4871416
27257784,5082524
27298763,4893013
27429808,4939358
27446252,4950574
27479051,4968823
27536238,4971060
27536264,4971080
27659118,5953410
27847486,5088411
27888657,5129700
27995059,5153561
27995061,5153555
27995066,5153599
27995067,5153603
28093279,5317178
28101523,5223054
28117844,5545730
28126038,5270359
28158800,5460053
28158874,5460048
28420978,5378760
28486506,5423613
28560160,5443910
28585020,5548834
28814282,5559812
18820290,2665159
21490964,3072382
21941472,3171065
22203816,3244758
22384006,3285156
23170237,3500461
23170240,3500464
23580061,3619143
23653602,3644676
23825570,3692521
23825653,3692444
23825684,3692468
23481626,3625914
23932225,4024664
23415950,3613798
24169638,3818535
23383244,3558499
23383194,3559478
23342148,3547007
23285136,3527573
23285070,3528678
24603951,3946345
24800742,4011948
23104865,3796073
24816735,4016310
24824899,4019522
22719723,3376727
24939881,4266292
22490550,3593579
21949769,3174219
21949675,3175755
21761197,3311856
25365800,4178298
25504890,4383651
25603413,4312831
25603496,4306101
25627959,4782783
21720537,3118477
21654968,3099099
25750685,4351830
25955655,4425548
26053998,4459220
26168793,4692314
21515639,3324571
26291449,4546237
21441997,3062100
26504353,4609410
21441989,3060701
21286223,3031025
20041155,2794541
19492040,2683943
26635557,4649056
26635585,4658414
23883107,3728072
23620791,3631252
23620758,3631241
23596404,3626071
26791018,4855951
24137150,3797465
26881222,4737015
24358198,3865029
24358367,3866129
26930498,4773017
26954981,4872444
27061464,5103175
27250065,4890427
24399043,3905226
27741285,5065224
24505434,3914938
24505440,3914963
28183861,5309571
28273912,5427895
28273918,5428331
24808886,4010762
28544456,5518297
24915066,4051855
25136305,4117995
25177285,4132267
25218167,4410787
25324713,4179761
25628041,4950303
25734519,4348517
26267069,4534425
26488289,4619344
26733832,4689787
26733841,4683540
26733895,4683193
26823984,4707362
26922333,4769706
26930284,4773075
27601982,4993791
27766203,5067102
28077120,5225658
26520774,4692512
26594618,4589842
26594619,4589845
26594629,4596928
26635722,4656846
28396874,5370516
28634448,5459904
18509462,2386151
18550622,2525446
21556876,3225607
22384105,3285192
23048018,3862268
23326568,3543395
23408377,3569607
23457592,3573002
23555620,3605420
23555827,3608539
23555852,3605370
24194580,4221218
24194828,3806767
17133385,2948427
24440530,3988837
23760450,3672681
24743801,3990690
23711332,3668141
24907249,4585486
23645718,4153805
25071427,4077017
25095790,4149208
23637737,3634812
23572081,3622132
23547713,3632493
23326484,3543360
23162485,3498892
23162440,3499771
25644693,5006878
22998631,3500241
25800210,4461309
21655298,3105023
19091117,2625333
18165281,2517104
26185465,4500611
16412236,1373642
23826251,3695040
23359269,3554651
26439485,5097115
20868756,3025354
26529426,5068756
24612493,3995740
24260420,3832369
26873519,5066805
24760013,3997501
25120418,4114183
26979966,4967793
26980052,4793190
25120447,4112936
27119345,4847934
27143886,4841392
25210471,4154887
25685703,4309950
27323928,4914983
27455078,4959711
25980483,4534487
19369489,2685920
24498012,3909015
27536945,4990413
25251396,4175071
22548168,3324153
26562059,4728009
28192648,5503292
26209850,4635920
26725925,4698722
26963705,4786208
27029050,4814138
28446211,5406999
27168331,5012952
28536517,5423362
28536520,5422531
28536551,5422526
28577338,5457446
25128710,4229501
26496709,4619796
28806742,5555664
20811624,2928271
26218102,4517841
22073183,3206847
28331800,5345975
27504261,4969269
27504262,4969259
28413708,5390840
26955513,4761650
28413776,5385591
24915847,4062281
28413706,5390838
26406464,4583545
27184985,4868964
28168061,5266856
20008455,2822636
27529063,4978833
26029629,4446369
28503615,5417348
28765808,5527158
28798808,5535744
27995988,5172249
25431556,4230164
25874162,4389056
27922089,5138827
17240169,2644454
18091986,2144768
18485420,2648877
18493621,2377337
18698363,2491899
18985144,2569811
18985147,2572192
19165335,2622763
20140099,2816724
20508750,2876881
20844603,2938977
20975836,2958830
21499885,3102186
22261925,3282900
22737112,3381445
23056309,3466291
23056400,3462766
23056477,3462752
23056533,3466188
23056613,3466236
23408738,3659193
23638017,3636085
23638050,3640070
23638070,3639275
23646167,3639895
23728081,3730055
23924756,4010969
24186897,4379998
24236043,3827248
24367318,3852233
24391560,3866656
24391569,3867969
24391871,3877131
24399939,3871967
24399954,3872043
24416222,3885571
24416347,3885678
24416367,3887023
24424389,3905223
24465469,3898910
24498389,3912127
24678293,3958698
24834034,4017157
25071508,4083828
25071513,4078911
25071521,4086203
25071576,4085720
25161824,4086365
25161894,4141983
25161897,4141974
25169986,4585499
25268230,4182029
25268234,4182437
25309382,4159995
25309392,4160952
25309407,4176038
25309414,4174036
25432022,4280551
25497693,4582804
25538555,4260677
25636912,4816784
25759677,4338815
25768010,4359126
25776216,4461307
25858095,4358847
25923740,4414585
25931795,4414648
26095530,5008218
26161117,4487721
26161254,4496864
26218431,4517759
26284024,4521505
26333130,4558049
26406969,4650987
26464415,4859836
26505303,4692511
26578894,4624866
26644594,4685521
26759193,4725371
26833066,4736129
27021340,4810460
27193284,4872123
27242579,4863427
27242623,4872468
27250879,4890016
27365297,5028003
27381822,4933876
27733896,5040199
27824354,5314122
27906119,5131454
28053642,5178348
28299208,5337373
28356560,5428665
28496095,5431892
28512439,5412091
28553253,5427072
28692702,5503260
28758118,5516734
28823750,6078711
28880891,5589232
16953876,1574332
17011212,2651199
17363278,3480647
18231790,2755766
18567624,2494616
18846222,2561002
19018279,2582437
19018312,2577943
19050764,2585816
19337466,2646655
19386635,2774401
20042233,3398390
20140268,2816174
20156841,2951846
20157009,2850579
20419095,2856674
20631844,2903191
20877577,2943931
20877644,2943904
20886034,2944888
21270939,3026336
21483761,3069547
21533250,3076433
21713131,3111446
21713189,3110973
21811450,3143719
21811568,3141010
22319555,3272002
22319604,3272045
22434215,3326258
22499797,3593578
22606228,3351439
22737141,3381220
22958510,3436669
23482688,3591747
23613739,3629025
23638379,3629065
23745111,3662879
23826933,3783899
23990890,3749202
24015241,3756065
24023609,3758284
24040007,3765269
24064470,3895245
24367516,3867357
24367642,3868580
24367675,3868704
24392274,3869981
24465794,3896435
24466026,3900530
24523262,4282459
24605095,3932519
24637718,3956891
24818075,3984447
24818080,3984443
24818081,3984441
24818082,3984446
25211175,4289457
25333997,4205092
25375171,4222943
25424131,4263140
25448851,4582802
25506057,4255056
25538867,4266850
25555264,6989778
25629038,4299532
25653582,4299407
25653609,4301016
25727354,4345335
25784868,4347451
25875000,4397013
25972975,4429366
26079805,4469651
26235228,4522675
26251603,4524585
26325510,4556707
26325581,4556667
26497266,4739511
26612293,4794878
26702397,4669532
26948055,4780087
27521301,5141961
27595134,5002985
27799903,5065955
27857211,5114555
27881866,5121604
27881920,5115684
28119505,5390724
28127513,5256178
28127520,5256185
28496404,5406467
28545486,5445372
28660251,5485378
28684734,5500565
28684794,5500479
28725547,5501884
28725687,5516618
28848407,5550713
28848488,5552678
28848495,5552726
16192329,2637603
17183636,1762366
17764976,2706325
18281304,2536698
18682729,2478709
18797499,2527524
19321652,2758685
19551135,2695008
20460301,3110429
20673366,2923156
21451498,3116801
21664605,3139835
21697443,3174823
21705392,3306575
21943208,3213017
22066003,3204998
22155982,3267983
22164273,3229557
22287265,3624952
22500014,3365275
22532832,3332056
22745745,3379986
22745788,3382122
22901705,3506436
23065480,3501969
23155368,3498279
23155450,3498331
23155479,3498928
23303045,3629389
23450458,3582997
23565090,3613753
23565239,3614508
23573184,3616056
23630478,3631704
23630488,3635018
23720620,3654219
23810974,4330549
23818974,3688578
23990958,3750036
23991064,3749113
24023940,3759470
24032009,3759008
24032012,3764478
24040104,3764021
24040178,3765321
24040207,3769349
24040262,3769261
24040385,3769296
24122138,4379999
24146641,3797968
24146853,3797815
24269573,3991848
24384149,3951481
24466193,3897742
24621866,3951306
24711792,3968753
24802255,4047618
25015103,4228502
25170555,6987881
25498406,4410791
25514753,4270311
25744282,4438550
25793291,4368728
25834451,4372006
25899791,4513220
25989796,4490615
26047332,4650644
26055423,5414075
26464981,4586926
26497912,4681091
26571500,4646674
26759790,4683460
27013993,4781865
27014040,4786547
27079423,4832139
27194153,4872364
27284244,4882152
27349694,5116051
27366068,4913992
27366072,4913973
27448098,5113676
27611959,5017636
27841268,5107911
27874038,5118811
27882297,5114586
28046076,5207728
28103527,5333782
28111538,5216875
28111546,5216041
28242678,5358393
28267152,5416677
28275544,5328751
28373714,5428836
28422976,5396873
28422990,5396975
28423021,5397062
28480163,5407639
28529472,5418232
28750618,5530585
28824362,5539178
16266429,1291397
19240137,2758676
19920057,2901017
19920058,2901020
19936318,2779097
20034615,2828549
20231266,2978238
20829245,3059891
21738518,3125527
21738725,3125248
21755004,3130765
22451259,3807605
22508766,3643713
22574121,3344823
22574141,3344851
22574175,3344896
22574269,3343293
22574285,3345361
22738021,3416700
22738024,3384227
22738125,3430553
22779006,3384885
22828165,3412736
22828181,3443433
22844462,3402516
23082194,3474750
23106734,3795450
23335892,3547329
23335893,3546317
23884812,3722356
23966916,3744007
24073213,3779225
24073267,3779167
24130761,3794035
24179739,3757718
24179754,3777679
24179756,3778258
24179757,3777837
24179760,3777763
24179777,3777786
24179782,3777779
24179790,3777787
24179809,3777717
24179829,3777780
24179844,3791276
24179849,3791283
24179851,3807502
24179853,3791293
24270043,4209722
24376411,3860184
24523939,3921228
24581119,3941612
24613934,3948954
24614074,3948722
24622295,4266288
24982629,4058899
25048028,4105563
25080831,4237877
25154706,4264953
25228353,4172871
25285620,4186833
25302083,4190580
25801734,4415908
25859200,4374450
25875640,4395363
25973853,4431841
25973923,4431729
26064046,4451850
26096737,5033031
26178653,4587539
26186732,4506083
26285212,4540566
26440813,4793124
26448878,4581560
26514637,4625848
26539162,4610202
26743821,4705486
26858629,4731490
27104345,4841538
27284693,4902194
27325442,4919533
27350001,5075341
27391013,4938209
27415603,5264416
27538517,4990879
27776130,5077078
27833571,5080342
27857886,5103101
27907134,5131954
28079169,5228032
28128347,5269715
28169310,5294576
28243099,5317331
28243104,5317330
28398590,5597864
28505166,5432174
28529870,5429234
28529874,5429245
28701822,5496109
28808246,5556089
19068489,2705699
21042440,2963756
21575209,3120660
22558222,3338463
23049832,3458074
23459220,3587882
23483911,3590274
23533065,3607151
23049502,3446246
22828495,3410629
22738278,3384259
23967320,3744508
22738227,3384234
22738183,3384263
22557992,3338067
24204812,3810472
22238671,3253105
24319418,3836272
24475211,3901730
24663383,3963848
22238632,3251569
22238630,3253091
25220656,4175221
22132137,3223201
22131970,3223398
21976356,3388891
25613599,4338545
25630307,4949632
25654753,4307824
21738777,3128082
25785844,4364721
21206532,3009480
20567521,2887372
20509977,2887789
20084170,2805712
26039634,4454696
19625385,2820708
19478033,2803733
26154253,4495981
26154563,4496065
19101025,2693664
26236222,4502353
26301900,4547759
26301954,4547715
17487272,1855433
23696798,3655975
23680398,3702998
26719692,4689287
26719693,4689284
26793434,4683429
26793436,4683457
23139910,3489817
26998365,4779536
23139906,3489813
23844132,3699486
27096431,4838249
27096474,4838301
27489536,4951481
23876923,4410789
27727243,5315543
24098280,3784977
24106464,3788350
24155702,3792552
24278266,3837007
27981194,5145909
24819224,4336557
25056572,4585497
25261349,4236576
28652967,5473647
25400602,4214356
25548107,4360235
25679386,4332494
25859660,4393246
28783938,5565076
25859661,4393019
25933410,4466042
25974269,4431742
26047963,4534492
26129732,5008173
26654201,4676166
26973558,4771748
27047353,4801860
27047364,4796013
27547195,4974943
27776388,5083948
27841974,5256125
27874847,5314109
27899123,5126868
28194128,5276995
28407150,5490684
28620239,5472613
28701932,5487515
28759619,5536366
28767657,5540394
26211895,4515634
26359113,4918729
26645916,4672877
28775685,5517483
28800613,5554004
28890691,5574908
18372290,2583150
19052540,3744058
19560121,2734077
20011033,2780828
20805236,3059884
21067612,2993720
21763774,3221044
23049951,3458812
23295962,3928999
23869236,3711903
23738207,3658698
23484034,3590224
23435206,3898942
23377900,4014092
23189183,3506550
24205088,3804471
23189175,3506600
23172771,3920770
24319656,3853351
24475313,3903774
23131804,3888372
24614597,3948885
24647353,3960105
22714121,3384221
22623966,3356373
22271786,3260843
22075266,3391678
21829564,3146521
21772062,3155705
21640839,3141109
21092129,3002291
20436911,2860504
25090014,4270260
19462002,2680057
19396362,2671164
19166943,2680974
25433915,4285193
18413350,2583153
25671315,4324997
18380676,2327213
17561416,2706324
25925368,5032987
26203921,4512184
26244883,4526683
23951069,3741391
26441558,4565057
26441560,4568341
26441569,4561342
26441576,4561672
26441584,4561903
26441600,4568337
26441601,4585217
23918599,3969513
24016745,3931746
24065897,3776934
24098513,3788711
24155952,3796455
24205198,3804629
26998482,4779507
24205247,3799631
27244237,5070053
24516545,3916321
24778608,3985019
27350747,4902244
27375466,4901075
27457415,5042060
24860452,4026698
24860462,4029023
24860526,4017150
24893064,4080316
28096471,5354342
28120864,5264403
28169883,5404398
24917798,4042186
24917833,4040507
28702352,5493837
24966841,4052338
25016248,4256062
25188354,4270393
25278250,4265725
25360099,4197644
25532132,4274095
25720857,4526587
25761577,4356951
26605335,4641924
26834594,4720749
26834606,4717323
26842975,4740758
26842987,4741001
26859312,5064618
27137944,4854410
27252350,4961020
27334340,5334427
27555761,4968669
27670428,5037100
27694920,5046116
27703252,5050502
28571652,5476347
26376180,4573963
28579788,5449125
17389911,1824707
18274617,2233815
18274664,2233772
19200075,2695154
19773547,2852508
20207691,3023086
20502888,2885301
20699229,3041013
20838472,2936906
20838644,2935390
20953234,2955413
20953235,2955419
20953400,2952336
21084453,3116739
21559448,3084809
21559468,3084768
21846395,3178476
21887352,3161094
21961040,3178514
22247623,3255994
22403154,3682439
22428022,3302835
22485152,3317669
22518101,3324921
22640773,3464709
23017598,3524457
23033990,3582543
23091456,3476497
23501047,3899022
23533626,3606142
23533806,3600174
23599250,3932086
23672953,3668994
23730277,3657626
23730281,3656341
23902451,3734141
23951549,3742334
24123508,4190683
24312166,3842312
24557637,4494028
24557638,4494027
24598769,3943846
24639656,3944404
24705397,3976406
24738049,3967629
24770712,4537432
24885511,4017227
